ref_no,title,make,model,year,mileage,engine_cc,transmission,fuel,seats,location,price_usd,total_price_usd,price_ugx,total_price_ugx,url,source
,2012 Suzuki Swift,Suzuki,Swift,2012,73200.0,1240.0,,,,,4300,,15480000,,/cars-list/hatchback/2012-suzuki-swift-7172?select_type=export,Autorec
,2005 Daihatsu Miragino,Daihatsu,Miragino,2005,98700.0,650.0,,,,,3500,,12600000,,/cars-list/hatchback/2005-daihatsu-miragino-7144?select_type=export,Autorec
,2005 Daihatsu Miragino,Daihatsu,Miragino,2005,98700.0,650.0,,,,,3500,,12600000,,/cars-list/hatchback/2005-daihatsu-miragino-7144?select_type=export,Autorec
,2010 BMW X1,Bmw,X1,2010,98900.0,1990.0,,,,,5800,,20880000,,/cars-list/suv/2010-bmw-x1-7162?select_type=export,Autorec
,1998 Mitsubishi Minicab Truck,Mitsubishi,Minicab,1998,63600.0,650.0,,,,,3900,,14040000,,/cars-list/truck/1998-mitsubishi-minicab-truck-7080?select_type=export,Autorec
,1999 Daihatsu Hijet Truck,Daihatsu,Hijet,1999,85300.0,650.0,,,,,2900,,10440000,,/cars-list/truck/1999-daihatsu-hijet-truck-6047?select_type=export,Autorec
,1999 Daihatsu Hijet Truck,Daihatsu,Hijet,1999,85300.0,650.0,,,,,2900,,10440000,,/cars-list/truck/1999-daihatsu-hijet-truck-6047?select_type=export,Autorec
,2012 Mercedes-Benz B-Class,Mercedes-Benz,B-Class,2012,35300.0,1590.0,,,,,5200,,18720000,,/cars-list/hatchback/2012-mercedes-benz-b-class-7179?select_type=export,Autorec
,2006 Toyota Porte,Toyota,Porte,2006,86300.0,1496.0,,,,,3200,,11520000,,/cars-list/hatchback/2006-toyota-porte-7096?select_type=export,Autorec
,2011 Mazda Biante,Mazda,Biante,2011,100500.0,2000.0,,,,,4500,,16200000,,/cars-list/mini-van/2011-mazda-biante-7203?select_type=export,Autorec
,2008 Toyota Vellfire,Toyota,Vellfire,2008,102700.0,2390.0,,,,,5200,,18720000,,/cars-list/mini-van/2008-toyota-vellfire-7200?select_type=export,Autorec
,1999 Daihatsu Hijet Truck,Daihatsu,Hijet,1999,85300.0,650.0,,,,,2900,,10440000,,/cars-list/truck/1999-daihatsu-hijet-truck-6047?select_type=export,Autorec
,2008 Audi A5,Audi,A5,2008,66500.0,3190.0,,,,,5900,,21240000,,/cars-list/coupe/2008-audi-a5-7136?select_type=export,Autorec
,1999 Daihatsu Hijet Truck,Daihatsu,Hijet,1999,85300.0,650.0,,,,,2900,,10440000,,/cars-list/truck/1999-daihatsu-hijet-truck-6047?select_type=export,Autorec
,2011 BMW MINI Cooper,Bmw,Mini,2011,80600.0,1590.0,,,,,4300,,15480000,,/cars-list/hatchback/2011-bmw-mini-cooper-7170?select_type=export,Autorec
,1999 Daihatsu Hijet Truck,Daihatsu,Hijet,1999,85300.0,650.0,,,,,2900,,10440000,,/cars-list/truck/1999-daihatsu-hijet-truck-6047?select_type=export,Autorec
,2011 Mazda Biante,Mazda,Biante,2011,100500.0,2000.0,,,,,4500,,16200000,,/cars-list/mini-van/2011-mazda-biante-7203?select_type=export,Autorec
,2011 Mazda Biante,Mazda,Biante,2011,100500.0,2000.0,,,,,4500,,16200000,,/cars-list/mini-van/2011-mazda-biante-7203?select_type=export,Autorec
,2024 Toyota Land Cruiser,Toyota,Land,2024,9900.0,3440.0,,,,,88000,,316800000,,/cars-list/suv/2024-toyota-land-cruiser-7153?select_type=export,Autorec
,2016 Toyota Passo,Toyota,Passo,2016,31500.0,990.0,,,,,4800,,17280000,,/cars-list/hatchback/2016-toyota-passo-7163?select_type=export,Autorec
,2008 Audi A5,Audi,A5,2008,66500.0,3190.0,,,,,5900,,21240000,,/cars-list/coupe/2008-audi-a5-7136?select_type=export,Autorec
,2005 Daihatsu Miragino,Daihatsu,Miragino,2005,98700.0,650.0,,,,,3500,,12600000,,/cars-list/hatchback/2005-daihatsu-miragino-7144?select_type=export,Autorec
,2008 Toyota Mark X,Toyota,Mark,2008,73300.0,2490.0,,,,,4200,,15120000,,/cars-list/sedan/2008-toyota-mark-x-7143?select_type=export,Autorec
,2013 Mazda Verisa,Mazda,Verisa,2013,93200.0,1500.0,,,,,4500,,16200000,,/cars-list/hatchback/2013-mazda-verisa-7204?select_type=export,Autorec
,2012 Subaru Exiga,Subaru,Exiga,2012,108300.0,2490.0,,,,,4700,,16920000,,/cars-list/wagon/2012-subaru-exiga-7167?select_type=export,Autorec
,2011 Mazda Biante,Mazda,Biante,2011,100500.0,2000.0,,,,,4500,,16200000,,/cars-list/mini-van/2011-mazda-biante-7203?select_type=export,Autorec
,2022 Kawasaki Industry Kawasaki Industry Others,Kawasaki,Industry,2022,18000.0,249.0,,,,,6500,,23400000,,/cars-list/motorcycle/2022-kawasaki-industry-kawasaki-industry-others-7051?select_type=export,Autorec
,2008 Audi TT,Audi,Tt,2008,107300.0,1980.0,,,,,4800,,17280000,,/cars-list/coupe/2008-audi-tt-7158?select_type=export,Autorec
,2005 Daihatsu Miragino,Daihatsu,Miragino,2005,98700.0,650.0,,,,,3500,,12600000,,/cars-list/hatchback/2005-daihatsu-miragino-7144?select_type=export,Autorec
,2009 Mazda Verisa,Mazda,Verisa,2009,101400.0,1490.0,,,,,4300,,15480000,,/cars-list/hatchback/2009-mazda-verisa-7195?select_type=export,Autorec
,2005 Daihatsu Miragino,Daihatsu,Miragino,2005,98700.0,650.0,,,,,3500,,12600000,,/cars-list/hatchback/2005-daihatsu-miragino-7144?select_type=export,Autorec
,2012 Subaru Legacy Touring Wagon,Subaru,Legacy,2012,102400.0,2490.0,,,,,4900,,17640000,,/cars-list/wagon/2012-subaru-legacy-touring-wagon-7199?select_type=export,Autorec
,2012 Suzuki Lapin,Suzuki,Lapin,2012,79100.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2012-suzuki-lapin-7185?select_type=export,Autorec
,2011 BMW MINI Cooper,Bmw,Mini,2011,80600.0,1590.0,,,,,4300,,15480000,,/cars-list/hatchback/2011-bmw-mini-cooper-7170?select_type=export,Autorec
,1985 Toyota Sprinter Trueno,Toyota,Sprinter,1985,177600.0,1600.0,,,,,26900,,96840000,,/cars-list/hatchback/1985-toyota-sprinter-trueno-7133?select_type=export,Autorec
,2010 BMW X1,Bmw,X1,2010,98900.0,1990.0,,,,,5800,,20880000,,/cars-list/suv/2010-bmw-x1-7162?select_type=export,Autorec
,2012 Subaru Impreza,Subaru,Impreza,2012,66900.0,1590.0,,,,,4700,,16920000,,/cars-list/hatchback/2012-subaru-impreza-7197?select_type=export,Autorec
,2013 Nissan Note,Nissan,Note,2013,68900.0,1190.0,,,,,3900,,14040000,,/cars-list/hatchback/2013-nissan-note-7142?select_type=export,Autorec
,2009 Mazda Verisa,Mazda,Verisa,2009,101400.0,1490.0,,,,,4300,,15480000,,/cars-list/hatchback/2009-mazda-verisa-7195?select_type=export,Autorec
,2015 Mazda Flair Crossover,Mazda,Flair,2015,94000.0,650.0,,,,,4500,,16200000,,/cars-list/hatchback/2015-mazda-flair-crossover-7164?select_type=export,Autorec
,2012 Suzuki Lapin,Suzuki,Lapin,2012,79100.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2012-suzuki-lapin-7185?select_type=export,Autorec
,2004 Daihatsu Hijet Truck,Daihatsu,Hijet,2004,69600.0,650.0,,,,,2200,,7920000,,/cars-list/truck/2004-daihatsu-hijet-truck-6582?select_type=export,Autorec
,2013 Honda N BOX,Honda,N,2013,107300.0,650.0,,,,,4600,,16560000,,/cars-list/hatchback/2013-honda-n-box-7171?select_type=export,Autorec
,2008 Toyota Mark X,Toyota,Mark,2008,73300.0,2490.0,,,,,4200,,15120000,,/cars-list/sedan/2008-toyota-mark-x-7143?select_type=export,Autorec
,2011 Honda Stream,Honda,Stream,2011,107100.0,1990.0,,,,,4300,,15480000,,/cars-list/mini-van/2011-honda-stream-7192?select_type=export,Autorec
,2009 Mazda Verisa,Mazda,Verisa,2009,101400.0,1490.0,,,,,4300,,15480000,,/cars-list/hatchback/2009-mazda-verisa-7195?select_type=export,Autorec
,2013 Honda N BOX,Honda,N,2013,107300.0,650.0,,,,,4600,,16560000,,/cars-list/hatchback/2013-honda-n-box-7171?select_type=export,Autorec
,2002 Nissan Fairlady Z,Nissan,Fairlady,2002,101800.0,3490.0,,,,,5500,,19800000,,/cars-list/coupe/2002-nissan-fairlady-z-7152?select_type=export,Autorec
,2008 Toyota Vellfire,Toyota,Vellfire,2008,102700.0,2390.0,,,,,5200,,18720000,,/cars-list/mini-van/2008-toyota-vellfire-7200?select_type=export,Autorec
,2010 Daihatsu MIRA COCOA,Daihatsu,Mira,2010,104800.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2010-daihatsu-mira-cocoa-7166?select_type=export,Autorec
,2013 Toyota Land Cruiser,Toyota,Land,2013,97000.0,4600.0,,,,,35000,,126000000,,/cars-list/suv/2013-toyota-land-cruiser-7139?select_type=export,Autorec
,2012 Subaru Exiga,Subaru,Exiga,2012,108300.0,2490.0,,,,,4700,,16920000,,/cars-list/wagon/2012-subaru-exiga-7167?select_type=export,Autorec
,2008 Audi TT,Audi,Tt,2008,107300.0,1980.0,,,,,4800,,17280000,,/cars-list/coupe/2008-audi-tt-7158?select_type=export,Autorec
,2008 Toyota Vellfire,Toyota,Vellfire,2008,102700.0,2390.0,,,,,5200,,18720000,,/cars-list/mini-van/2008-toyota-vellfire-7200?select_type=export,Autorec
,2012 Subaru Exiga,Subaru,Exiga,2012,108300.0,2490.0,,,,,4700,,16920000,,/cars-list/wagon/2012-subaru-exiga-7167?select_type=export,Autorec
,2010 Daihatsu MIRA COCOA,Daihatsu,Mira,2010,104800.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2010-daihatsu-mira-cocoa-7166?select_type=export,Autorec
,2005 Daihatsu Miragino,Daihatsu,Miragino,2005,98700.0,650.0,,,,,3500,,12600000,,/cars-list/hatchback/2005-daihatsu-miragino-7144?select_type=export,Autorec
,2007 Daihatsu Miragino,Daihatsu,Miragino,2007,85100.0,650.0,,,,,3800,,13680000,,/cars-list/hatchback/2007-daihatsu-miragino-7194?select_type=export,Autorec
,1998 Mitsubishi Minicab Truck,Mitsubishi,Minicab,1998,63600.0,650.0,,,,,3900,,14040000,,/cars-list/truck/1998-mitsubishi-minicab-truck-7080?select_type=export,Autorec
,2008 Toyota Mark X,Toyota,Mark,2008,73300.0,2490.0,,,,,4200,,15120000,,/cars-list/sedan/2008-toyota-mark-x-7143?select_type=export,Autorec
,1991 Honda Acty Truck,Honda,Acty,1991,59100.0,650.0,,,,,4900,,17640000,,/cars-list/truck/1991-honda-acty-truck-7085?select_type=export,Autorec
,2006 Toyota Porte,Toyota,Porte,2006,86300.0,1496.0,,,,,3200,,11520000,,/cars-list/hatchback/2006-toyota-porte-7096?select_type=export,Autorec
,2014 Toyota SPADE,Toyota,Spade,2014,95000.0,1490.0,,,,,4700,,16920000,,/cars-list/hatchback/2014-toyota-spade-7168?select_type=export,Autorec
,1991 Honda Acty Truck,Honda,Acty,1991,59100.0,650.0,,,,,4900,,17640000,,/cars-list/truck/1991-honda-acty-truck-7085?select_type=export,Autorec
,2013 Mazda Verisa,Mazda,Verisa,2013,93200.0,1500.0,,,,,4500,,16200000,,/cars-list/hatchback/2013-mazda-verisa-7204?select_type=export,Autorec
,2012 Suzuki Lapin,Suzuki,Lapin,2012,79100.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2012-suzuki-lapin-7185?select_type=export,Autorec
,2024 Toyota Land Cruiser,Toyota,Land,2024,9900.0,3440.0,,,,,88000,,316800000,,/cars-list/suv/2024-toyota-land-cruiser-7153?select_type=export,Autorec
,2010 Subaru Impreza,Subaru,Impreza,2010,73300.0,1490.0,,,,,4500,,16200000,,/cars-list/hatchback/2010-subaru-impreza-7159?select_type=export,Autorec
,2001 Toyota Soarer,Toyota,Soarer,2001,122800.0,4290.0,,,,,6300,,22680000,,/cars-list/convertible/2001-toyota-soarer-6023?select_type=export,Autorec
,2016 Toyota Passo,Toyota,Passo,2016,31500.0,990.0,,,,,4800,,17280000,,/cars-list/hatchback/2016-toyota-passo-7163?select_type=export,Autorec
,2011 Toyota Prius,Toyota,Prius,2011,127000.0,1790.0,,,,,4500,,16200000,,/cars-list/sedan/2011-toyota-prius-7146?select_type=export,Autorec
,2011 Toyota Prius,Toyota,Prius,2011,112000.0,1790.0,,,,,4800,,17280000,,/cars-list/sedan/2011-toyota-prius-7147?select_type=export,Autorec
,2008 Honda Fit,Honda,Fit,2008,95600.0,1330.0,,,,,3500,,12600000,,/cars-list/hatchback/2008-honda-fit-7072?select_type=export,Autorec
,2012 Nissan Serena,Nissan,Serena,2012,110000.0,1990.0,,,,,4800,,17280000,,/cars-list/mini-van/2012-nissan-serena-7140?select_type=export,Autorec
,2007 Daihatsu Miragino,Daihatsu,Miragino,2007,85100.0,650.0,,,,,3800,,13680000,,/cars-list/hatchback/2007-daihatsu-miragino-7194?select_type=export,Autorec
,2013 Honda N BOX,Honda,N,2013,107300.0,650.0,,,,,4600,,16560000,,/cars-list/hatchback/2013-honda-n-box-7171?select_type=export,Autorec
,2008 Audi TT,Audi,Tt,2008,107300.0,1980.0,,,,,4800,,17280000,,/cars-list/coupe/2008-audi-tt-7158?select_type=export,Autorec
,2004 Daihatsu Hijet Truck,Daihatsu,Hijet,2004,69600.0,650.0,,,,,2200,,7920000,,/cars-list/truck/2004-daihatsu-hijet-truck-6582?select_type=export,Autorec
,1999 Daihatsu Hijet Truck,Daihatsu,Hijet,1999,85300.0,650.0,,,,,2900,,10440000,,/cars-list/truck/1999-daihatsu-hijet-truck-6047?select_type=export,Autorec
,2011 Mazda Biante,Mazda,Biante,2011,100500.0,2000.0,,,,,4500,,16200000,,/cars-list/mini-van/2011-mazda-biante-7203?select_type=export,Autorec
,2013 Mazda Verisa,Mazda,Verisa,2013,93200.0,1500.0,,,,,4500,,16200000,,/cars-list/hatchback/2013-mazda-verisa-7204?select_type=export,Autorec
,2004 Daihatsu Hijet Truck,Daihatsu,Hijet,2004,69600.0,650.0,,,,,2200,,7920000,,/cars-list/truck/2004-daihatsu-hijet-truck-6582?select_type=export,Autorec
,2012 Mercedes-Benz B-Class,Mercedes-Benz,B-Class,2012,35300.0,1590.0,,,,,5200,,18720000,,/cars-list/hatchback/2012-mercedes-benz-b-class-7179?select_type=export,Autorec
,2012 Subaru Impreza,Subaru,Impreza,2012,66900.0,1590.0,,,,,4700,,16920000,,/cars-list/hatchback/2012-subaru-impreza-7197?select_type=export,Autorec
,2008 Audi A5,Audi,A5,2008,66500.0,3190.0,,,,,5900,,21240000,,/cars-list/coupe/2008-audi-a5-7136?select_type=export,Autorec
,2005 Daihatsu Miragino,Daihatsu,Miragino,2005,98700.0,650.0,,,,,3500,,12600000,,/cars-list/hatchback/2005-daihatsu-miragino-7144?select_type=export,Autorec
,2011 Honda Stream,Honda,Stream,2011,107100.0,1990.0,,,,,4300,,15480000,,/cars-list/mini-van/2011-honda-stream-7192?select_type=export,Autorec
,1998 Mitsubishi Minicab Truck,Mitsubishi,Minicab,1998,63600.0,650.0,,,,,3900,,14040000,,/cars-list/truck/1998-mitsubishi-minicab-truck-7080?select_type=export,Autorec
,2012 Nissan Serena,Nissan,Serena,2012,110000.0,1990.0,,,,,4800,,17280000,,/cars-list/mini-van/2012-nissan-serena-7140?select_type=export,Autorec
,2012 Subaru Exiga,Subaru,Exiga,2012,108300.0,2490.0,,,,,4700,,16920000,,/cars-list/wagon/2012-subaru-exiga-7167?select_type=export,Autorec
,2004 Daihatsu Hijet Truck,Daihatsu,Hijet,2004,69600.0,650.0,,,,,2200,,7920000,,/cars-list/truck/2004-daihatsu-hijet-truck-6582?select_type=export,Autorec
,2013 Honda N BOX,Honda,N,2013,107300.0,650.0,,,,,4600,,16560000,,/cars-list/hatchback/2013-honda-n-box-7171?select_type=export,Autorec
,2008 Toyota Vellfire,Toyota,Vellfire,2008,102700.0,2390.0,,,,,5200,,18720000,,/cars-list/mini-van/2008-toyota-vellfire-7200?select_type=export,Autorec
,2010 Daihatsu MIRA COCOA,Daihatsu,Mira,2010,104800.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2010-daihatsu-mira-cocoa-7166?select_type=export,Autorec
,2010 BMW X1,Bmw,X1,2010,98900.0,1990.0,,,,,5800,,20880000,,/cars-list/suv/2010-bmw-x1-7162?select_type=export,Autorec
,2008 Toyota Mark X,Toyota,Mark,2008,73300.0,2490.0,,,,,4200,,15120000,,/cars-list/sedan/2008-toyota-mark-x-7143?select_type=export,Autorec
,2010 BMW X1,Bmw,X1,2010,98900.0,1990.0,,,,,5800,,20880000,,/cars-list/suv/2010-bmw-x1-7162?select_type=export,Autorec
,2012 Suzuki Lapin,Suzuki,Lapin,2012,79100.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2012-suzuki-lapin-7185?select_type=export,Autorec
,1999 Daihatsu Hijet Truck,Daihatsu,Hijet,1999,85300.0,650.0,,,,,2900,,10440000,,/cars-list/truck/1999-daihatsu-hijet-truck-6047?select_type=export,Autorec
,2012 Nissan Cube,Nissan,Cube,2012,81300.0,1490.0,,,,,3900,,14040000,,/cars-list/2012-nissan-cube-7193?select_type=export,Autorec
,2013 Toyota Land Cruiser,Toyota,Land,2013,97000.0,4600.0,,,,,35000,,126000000,,/cars-list/suv/2013-toyota-land-cruiser-7139?select_type=export,Autorec
,1985 Toyota Sprinter Trueno,Toyota,Sprinter,1985,177600.0,1600.0,,,,,26900,,96840000,,/cars-list/hatchback/1985-toyota-sprinter-trueno-7133?select_type=export,Autorec
,1991 Honda Acty Truck,Honda,Acty,1991,59100.0,650.0,,,,,4900,,17640000,,/cars-list/truck/1991-honda-acty-truck-7085?select_type=export,Autorec
,2010 Daihatsu MIRA COCOA,Daihatsu,Mira,2010,104800.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2010-daihatsu-mira-cocoa-7166?select_type=export,Autorec
,2012 Nissan Serena,Nissan,Serena,2012,110000.0,1990.0,,,,,4800,,17280000,,/cars-list/mini-van/2012-nissan-serena-7140?select_type=export,Autorec
,2004 Daihatsu Hijet Truck,Daihatsu,Hijet,2004,69600.0,650.0,,,,,2200,,7920000,,/cars-list/truck/2004-daihatsu-hijet-truck-6582?select_type=export,Autorec
,2010 Subaru Impreza,Subaru,Impreza,2010,73300.0,1490.0,,,,,4500,,16200000,,/cars-list/hatchback/2010-subaru-impreza-7159?select_type=export,Autorec
,2012 Nissan Serena,Nissan,Serena,2012,110000.0,1990.0,,,,,4800,,17280000,,/cars-list/mini-van/2012-nissan-serena-7140?select_type=export,Autorec
,2010 Subaru Impreza,Subaru,Impreza,2010,73300.0,1490.0,,,,,4500,,16200000,,/cars-list/hatchback/2010-subaru-impreza-7159?select_type=export,Autorec
,2002 Nissan Fairlady Z,Nissan,Fairlady,2002,101800.0,3490.0,,,,,5500,,19800000,,/cars-list/coupe/2002-nissan-fairlady-z-7152?select_type=export,Autorec
,2014 Toyota SPADE,Toyota,Spade,2014,95000.0,1490.0,,,,,4700,,16920000,,/cars-list/hatchback/2014-toyota-spade-7168?select_type=export,Autorec
,2023 Cadillac Deville,Cadillac,Deville,2023,,,,,,,48000,,172800000,,/cars-list/coupe/2023-cadillac-deville-6699?select_type=export,Autorec
,2014 Toyota SPADE,Toyota,Spade,2014,95000.0,1490.0,,,,,4700,,16920000,,/cars-list/hatchback/2014-toyota-spade-7168?select_type=export,Autorec
,2011 Mazda Biante,Mazda,Biante,2011,100500.0,2000.0,,,,,4500,,16200000,,/cars-list/mini-van/2011-mazda-biante-7203?select_type=export,Autorec
,2012 Nissan Serena,Nissan,Serena,2012,110000.0,1990.0,,,,,4800,,17280000,,/cars-list/mini-van/2012-nissan-serena-7140?select_type=export,Autorec
,2013 Honda N BOX,Honda,N,2013,107300.0,650.0,,,,,4600,,16560000,,/cars-list/hatchback/2013-honda-n-box-7171?select_type=export,Autorec
,1998 Mitsubishi Minicab Truck,Mitsubishi,Minicab,1998,63600.0,650.0,,,,,3900,,14040000,,/cars-list/truck/1998-mitsubishi-minicab-truck-7080?select_type=export,Autorec
,2013 Toyota Land Cruiser,Toyota,Land,2013,97000.0,4600.0,,,,,35000,,126000000,,/cars-list/suv/2013-toyota-land-cruiser-7139?select_type=export,Autorec
,2008 Toyota Mark X,Toyota,Mark,2008,73300.0,2490.0,,,,,4200,,15120000,,/cars-list/sedan/2008-toyota-mark-x-7143?select_type=export,Autorec
,2012 Subaru Legacy Touring Wagon,Subaru,Legacy,2012,102400.0,2490.0,,,,,4900,,17640000,,/cars-list/wagon/2012-subaru-legacy-touring-wagon-7199?select_type=export,Autorec
,2008 Toyota Mark X,Toyota,Mark,2008,73300.0,2490.0,,,,,4200,,15120000,,/cars-list/sedan/2008-toyota-mark-x-7143?select_type=export,Autorec
,2008 Honda Freed,Honda,Freed,2008,,1490.0,,,,,4400,,15840000,,/cars-list/hatchback/2008-honda-freed-7173?select_type=export,Autorec
,2012 Daihatsu MIRA COCOA,Daihatsu,Mira,2012,74900.0,650.0,,,,,4300,,15480000,,/cars-list/hatchback/2012-daihatsu-mira-cocoa-7165?select_type=export,Autorec
,2004 Daihatsu Hijet Truck,Daihatsu,Hijet,2004,69600.0,650.0,,,,,2200,,7920000,,/cars-list/truck/2004-daihatsu-hijet-truck-6582?select_type=export,Autorec
,2010 Daihatsu MIRA COCOA,Daihatsu,Mira,2010,104800.0,650.0,,,,,3900,,14040000,,/cars-list/hatchback/2010-daihatsu-mira-cocoa-7166?select_type=export,Autorec
,2012 Nissan Cube,Nissan,Cube,2012,81300.0,1490.0,,,,,3900,,14040000,,/cars-list/2012-nissan-cube-7193?select_type=export,Autorec
,2007 Daihatsu Miragino,Daihatsu,Miragino,2007,85100.0,650.0,,,,,3800,,13680000,,/cars-list/hatchback/2007-daihatsu-miragino-7194?select_type=export,Autorec
,2008 Toyota Vellfire,Toyota,Vellfire,2008,102700.0,2390.0,,,,,5200,,18720000,,/cars-list/mini-van/2008-toyota-vellfire-7200?select_type=export,Autorec
,2011 BMW MINI Cooper,Bmw,Mini,2011,80600.0,1590.0,,,,,4300,,15480000,,/cars-list/hatchback/2011-bmw-mini-cooper-7170?select_type=export,Autorec
,2008 Toyota Mark X,Toyota,Mark,2008,73300.0,2490.0,,,,,4200,,15120000,,/cars-list/sedan/2008-toyota-mark-x-7143?select_type=export,Autorec
,2004 Daihatsu Hijet Truck,Daihatsu,Hijet,2004,69600.0,650.0,,,,,2200,,7920000,,/cars-list/truck/2004-daihatsu-hijet-truck-6582?select_type=export,Autorec
,2012 Mercedes-Benz B-Class,Mercedes-Benz,B-Class,2012,35300.0,1590.0,,,,,5200,,18720000,,/cars-list/hatchback/2012-mercedes-benz-b-class-7179?select_type=export,Autorec
,2015 Mazda Flair Crossover,Mazda,Flair,2015,94000.0,650.0,,,,,4500,,16200000,,/cars-list/hatchback/2015-mazda-flair-crossover-7164?select_type=export,Autorec
,2015 Mazda Flair Crossover,Mazda,Flair,2015,94000.0,650.0,,,,,4500,,16200000,,/cars-list/hatchback/2015-mazda-flair-crossover-7164?select_type=export,Autorec
,2023 Cadillac Deville,Cadillac,Deville,2023,,,,,,,48000,,172800000,,/cars-list/coupe/2023-cadillac-deville-6699?select_type=export,Autorec
,2011 Toyota Prius,Toyota,Prius,2011,112000.0,1790.0,,,,,4800,,17280000,,/cars-list/sedan/2011-toyota-prius-7147?select_type=export,Autorec
,1985 Toyota Sprinter Trueno,Toyota,Sprinter,1985,177600.0,1600.0,,,,,26900,,96840000,,/cars-list/hatchback/1985-toyota-sprinter-trueno-7133?select_type=export,Autorec
,1985 Toyota Sprinter Trueno,Toyota,Sprinter,1985,177600.0,1600.0,,,,,26900,,96840000,,/cars-list/hatchback/1985-toyota-sprinter-trueno-7133?select_type=export,Autorec
,2008 Lexus LS,Lexus,Ls,2008,86000.0,4600.0,,,,,6500,,23400000,,/cars-list/sedan/2008-lexus-ls-7038?select_type=export,Autorec
,2012 Nissan Cube,Nissan,Cube,2012,81300.0,1490.0,,,,,3900,,14040000,,/cars-list/2012-nissan-cube-7193?select_type=export,Autorec
,2012 Nissan Lafesta,Nissan,Lafesta,2012,50900.0,1990.0,,,,,4500,,16200000,,/cars-list/mini-van/2012-nissan-lafesta-7154?select_type=export,Autorec
,2012 Nissan Lafesta,Nissan,Lafesta,2012,50900.0,1990.0,,,,,4500,,16200000,,/cars-list/mini-van/2012-nissan-lafesta-7154?select_type=export,Autorec
,2013 Nissan Note,Nissan,Note,2013,68900.0,1190.0,,,,,3900,,14040000,,/cars-list/hatchback/2013-nissan-note-7142?select_type=export,Autorec
,2012 Daihatsu MIRA COCOA,Daihatsu,Mira,2012,74900.0,650.0,,,,,4300,,15480000,,/cars-list/hatchback/2012-daihatsu-mira-cocoa-7165?select_type=export,Autorec
